FIRE_YEAR,IGNITN_DT,LATITUDE,LONGITUDE,CURRENT_SZ
2025,2025-07-04,49.5321,-123.2931,0.009
2025,2025-11-16,49.929,-124.5868,0.002
2025,2025-06-12,49.9951,-119.3347,0.009
2025,2025-08-04,48.8113,-124.0248,0.08
2025,2025-06-09,50.6186,-120.4478,0.15
2025,2025-09-03,54.2999,-122.6685,0.01
2025,2025-10-28,49.4687,-119.4959,0.009
2025,2025-08-26,50.081,-119.4338,0.009
2025,2025-10-13,49.7898,-119.3775,0.009
2025,2025-10-09,49.7529,-116.3847,0.009
2025,2025-04-18,55.644,-121.582,48.9
2025,2025-05-07,56.5879,-122.4237,0.32
2025,2025-08-30,51.9304,-124.8202,0.1
2025,2025-04-01,50.1614,-120.5853,0.2
2025,2025-05-01,56.2727,-120.8344,47.1
2025,2025-06-08,56.3708,-120.7322,0.02
2025,2025-04-08,55.618,-121.8655,7.1
2025,2025-05-06,50.9134,-119.6164,0.009
2025,2025-04-03,49.018,-119.7292,0.009
2025,2025-05-07,51.8828,-120.8304,0.65
2025,2025-04-27,51.5931,-122.0929,1.55
2025,2025-04-25,56.5012,-122.0931,31.9
2025,2025-04-25,50.1375,-120.8621,1.2
2025,2025-05-29,56.1459,-121.7401,1.1
2025,2025-05-02,56.1464,-121.7289,0.5
2025,2024-12-15,56.0662,-120.6374,0.2
2025,2025-08-30,50.0462,-121.5393,0.009
2025,2025-04-30,53.7167,-124.7732,0.009
2025,2025-08-01,58.5174,-122.6934,0.009
2025,2025-09-05,51.4275,-116.9844,0.009
2025,2025-08-23,49.6008,-115.8681,0.1
2025,2025-07-01,52.3024,-122.2037,0.1
2025,2025-04-24,50.031,-116.9048,0.009
2025,2025-05-30,51.0805,-116.6986,0.01
2025,2025-04-13,54.0462,-124.8847,0.1
2025,2025-06-07,55.1288,-121.007,0.51
2025,2025-06-08,54.0199,-124.2856,0.2
2025,2025-07-01,52.9684,-119.3422,0.009
2025,2025-09-07,49.4343,-118.409,0.82
2025,2025-07-30,53.0561,-121.6049,12.5
2025,2025-06-11,49.0154,-118.9705,0.009
2025,2025-08-01,49.0271,-118.8022,0.009
2025,2025-07-30,55.4515,-124.9545,8.97
2025,2025-07-31,53.1353,-123.7195,4.58
2025,2025-08-06,51.5617,-122.6936,0.01
2025,2025-08-31,50.4635,-120.8368,0.5
2025,2025-09-09,49.187,-120.5327,0.1
2025,2025-08-29,49.5912,-120.2566,0.4
2025,2025-08-29,49.8626,-120.724,0.009
2025,2025-08-30,50.256,-120.8415,0.009
2025,2025-09-08,49.4059,-120.8413,0.009
2025,2025-08-30,49.354,-120.9062,0.009
2025,2025-09-15,49.3103,-120.462,0.009
2025,2025-09-02,49.7033,-120.9892,0.009
2025,2025-08-31,49.7668,-120.7645,0.1
2025,2025-08-31,49.7452,-120.805,0.009
2025,2025-08-16,54.3686,-126.2632,0.01
2025,2025-06-23,53.1103,-125.276,0.009
2025,2025-09-04,51.9365,-118.0672,0.2
2025,2025-08-28,50.0899,-117.7585,0.009
2025,2025-06-18,52.3534,-120.9006,0.009
2025,2025-07-01,52.4874,-122.0841,0.009
2025,2025-07-31,53.8852,-124.6554,397.59
2025,2025-08-02,53.4262,-122.9108,0.009
2025,2025-07-31,53.7169,-121.0368,0.009
2025,2025-08-29,50.2921,-122.6405,0.009
2025,2025-08-30,49.7967,-122.9755,0.009
2025,2025-09-05,50.094,-117.439,0.5
2025,2025-07-02,59.009,-122.8596,0.009
2025,2025-07-30,50.8963,-120.2035,0.1
2025,2025-08-02,49.8612,-120.6975,0.3
2025,2025-10-01,49.1672,-117.3924,0.01
2025,2025-09-24,51.0208,-119.4514,0.009
2025,2025-08-15,50.2446,-120.2736,0.009
2025,2025-08-24,51.7594,-120.6783,0.01
2025,2025-07-26,48.4685,-124.063,0.009
2025,2025-09-28,49.3182,-122.7628,0.009
2025,2025-06-13,54.7707,-127.0959,0.009
2025,2026-03-16,49.4341,-119.7054,0.3
2025,2025-04-24,50.6026,-120.1303,0.009
2025,2025-09-20,49.8325,-125.6155,0.03
2025,2025-07-23,52.2003,-122.2765,0.009
2025,2025-06-05,49.9723,-119.3657,0.5
2025,2025-08-26,50.5454,-118.9516,0.3
2025,2025-04-25,50.2094,-116.0191,0.3
2025,2025-08-30,49.4854,-123.2384,0.009
2025,2025-07-14,48.4474,-123.6818,1.2
2025,2025-06-08,49.2884,-124.5864,0.009
2025,2025-06-07,56.1685,-122.3822,0.009
2025,2025-09-21,49.7776,-119.4551,0.009
2025,2025-07-12,49.8618,-121.4499,0.01
