YEAR,MONTH,DAY,LATITUDE,LONGITUDE,SIZE_HA,CAUSE
2023,6,8,54.0668,-124.9555,0.009,H
2023,8,13,53.8672,-123.3191,0.009,H
2023,5,17,56.1005,-120.8597,1.4,H
2023,7,11,55.1147,-121.158,0.95,H
2023,5,6,55.3459,-120.3588,2.0,H
2023,8,12,49.4143,-121.3181,0.009,H
2023,6,19,56.9463,-121.4378,0.2,H
2023,6,28,50.0592,-124.8372,0.0,H
2023,8,26,49.9104,-123.1651,0.009,H
2023,8,14,50.0947,-120.7228,4.0,H
2023,7,9,51.222,-120.0433,0.1,H
2023,9,9,53.7924,-122.4121,0.009,H
2023,5,12,49.1964,-115.1416,9.98,H
2023,7,1,49.8308,-125.6289,0.04,H
2023,6,8,50.2661,-120.4239,0.009,H
2023,6,8,50.2785,-120.4045,0.009,H
2023,9,17,49.3368,-121.3212,0.19,H
2023,7,9,50.1756,-119.4425,0.6,H
2023,9,20,56.5456,-122.3678,0.5,H
2023,9,26,49.4796,-115.4044,0.009,H
2023,10,3,50.6368,-119.0445,0.009,H
2023,10,26,58.8077,-122.5758,0.2,H
2023,5,15,59.1388,-120.3337,0.0,H
2023,10,25,52.1159,-124.0486,0.009,H
2023,10,20,52.0615,-121.8756,0.009,H
2023,8,8,50.4066,-121.3726,0.45,H
2023,8,5,54.0627,-124.914,0.009,H
2023,5,19,53.6024,-120.7024,0.009,H
2023,6,27,55.143,-127.776,0.1,H
2023,4,22,53.6041,-120.7083,0.2,H
2023,5,10,53.5694,-120.6794,0.5,H
2023,5,12,49.6629,-116.8012,0.009,H
2023,6,5,50.7758,-120.7142,1.6,H
2023,9,7,58.7582,-124.9731,0.009,H
2023,8,28,52.1513,-123.8433,0.009,H
2023,5,19,49.1218,-123.7686,0.009,H
2023,7,2,48.4656,-123.6738,0.009,H
2023,9,13,50.441,-116.2653,0.009,H
2023,5,19,49.5713,-121.8112,0.009,H
2023,8,4,49.0868,-120.6078,0.009,H
2023,9,10,54.4968,-128.6135,0.1,H
2023,11,13,50.5784,-120.4644,0.009,H
2023,5,31,48.7871,-125.1736,0.04,H
2023,4,5,49.8873,-123.1801,0.009,H
2023,5,21,49.2231,-124.2035,0.009,H
2023,3,23,50.81,-119.7275,1.34,H
2023,9,17,49.0857,-121.9503,0.009,H
2023,4,16,50.0626,-124.8208,0.002,H
2023,9,20,48.5163,-123.5852,0.02,H
